Title,Description,Expiration Date,year
"Ultrasonic Method And Means To Assess Compartment Syndrome (Hyper Pressure States In Arm, Leg Muscle/Tendon Compartments)","Ultrasonic Method And Means To Assess Compartment Syndrome (Hyper Pressure States In Arm, Leg Muscle/Tendon Compartments)",2025-01-01,2025
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics","Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",2025-01-01,2025
Space Robotic System For In Space Servicing Of Unmanned Spacecraft Applications,Space Robotic System For In Space Servicing Of Unmanned Spacecraft Applications,2025-01-01,2025
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics","Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",2025-01-01,2025
Demiseable Reaction Wheel Assembly,Demiseable Reaction Wheel Assembly,2025-01-01,2025
Screw-Locking Wrench,Screw-Locking Wrench,2025-01-01,2025
"Inductor (L)-Capacitor ( C ) (aka, LC) Sensor Circuit For Piezo Material Monitoring","Inductor (L)-Capacitor ( C ) (aka, LC) Sensor Circuit For Piezo Material Monitoring",2025-01-01,2025
A Method And System For Direct Implementation Of Formal Specifications Derived Mechanically From Informal Requirements,A Method And System For Direct Implementation Of Formal Specifications Derived Mechanically From Informal Requirements,2025-01-01,2025
"A Method And System For Formal Analysis, Simulation, And Verification Of Knowledge-Based Systems, Rule-Based Systems, And Expert Systems","A Method And System For Formal Analysis, Simulation, And Verification Of Knowledge-Based Systems, Rule-Based Systems, And Expert Systems",2025-01-01,2025
Method for the controlled deposition and alignment of single walled carbon nanotubes,Method for the controlled deposition and alignment of single walled carbon nanotubes,2025-01-01,2025
A Split-Remerge Method For Eliminating Processing Window Artifacts In Recursive Hierarchical Segmentation,A Split-Remerge Method For Eliminating Processing Window Artifacts In Recursive Hierarchical Segmentation,2025-01-01,2025
"Pivot 2.0: Radiation Hardened, Fast Acquisition/Weak Signal Tracking GPS Receiver","Pivot 2.0: Radiation Hardened, Fast Acquisition/Weak Signal Tracking GPS Receiver",2025-01-01,2025
Templated Growth Of Carbon Nanotubes,Templated Growth Of Carbon Nanotubes,2025-01-01,2025
Piezoelectrically Enhanced PhotoCathode (PEPC),Piezoelectrically Enhanced PhotoCathode (PEPC),2025-01-01,2025
Space Environmentally Durable Polyimides And Copolyimides,Space Environmentally Durable Polyimides And Copolyimides,2025-01-01,2025
Apoptosis And Self-destruct: Mechanisms For Management Of Autonomic Systems,Apoptosis And Self-destruct: Mechanisms For Management Of Autonomic Systems,2025-01-01,2025
Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,2026-01-01,2026
Multi-wavelength Time-coincident Optical Communications System,Multi-wavelength Time-coincident Optical Communications System,2026-01-01,2026
Zero G Condensing Heat Exchanger With Integral Disinfection,Zero G Condensing Heat Exchanger With Integral Disinfection,2026-01-01,2026
Method And System For Fiber Optic Determination Of Nitrogen And Oxygen Concentrations In Ullage Of Liquid Fuel Tanks,Method And System For Fiber Optic Determination Of Nitrogen And Oxygen Concentrations In Ullage Of Liquid Fuel Tanks,2026-01-01,2026
Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,2026-01-01,2026
Fully-Premixed Low-Emissions High-Pressure Multi-fuel Burner,Fully-Premixed Low-Emissions High-Pressure Multi-fuel Burner,2026-01-01,2026
A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,2026-01-01,2026
Antenna Near-Field Probe Station Scanner,Antenna Near-Field Probe Station Scanner,2026-01-01,2026
String Resistance Detector Concept,String Resistance Detector Concept,2026-01-01,2026
Syntheis Of Asymmetric Dianhydrides,Syntheis Of Asymmetric Dianhydrides,2026-01-01,2026
Wet Waste Drying Bag,Wet Waste Drying Bag,2026-01-01,2026
Aluminization And Hyperthermal Atomic Oxygen Texturing Of Polymethylmethacralate Optical Fibers For Blood Glucose Monitoring,Aluminization And Hyperthermal Atomic Oxygen Texturing Of Polymethylmethacralate Optical Fibers For Blood Glucose Monitoring,2026-01-01,2026
Solvent-Free Low Melt Viscosity Imide Oligomers and Thermosetting Polyimide Composites,Solvent-Free Low Melt Viscosity Imide Oligomers and Thermosetting Polyimide Composites,2026-01-01,2026
Supercharged Two-Cycle Engines Employing Novel Single Element Reciprocating Shuttle Inlet Valve Mechanisms And With A Variable Compression Ratio,Supercharged Two-Cycle Engines Employing Novel Single Element Reciprocating Shuttle Inlet Valve Mechanisms And With A Variable Compression Ratio,2026-01-01,2026
High Work Output Ni-Ti-Pt High Temperature Shape Memory Alloys And Associated Processing Methods,High Work Output Ni-Ti-Pt High Temperature Shape Memory Alloys And Associated Processing Methods,2026-01-01,2026
Directional Microwave Applicator/Antenna,Directional Microwave Applicator/Antenna,2026-01-01,2026
Gear Bearings,Gear Bearings,2026-01-01,2026
Dual Expander Cycle Rocket Engine Cycle with an Intermediate Brayton Cycle Heat Exchanger,Dual Expander Cycle Rocket Engine Cycle with an Intermediate Brayton Cycle Heat Exchanger,2026-01-01,2026
Miniaturized Metal (Metal Alloy)/PdOx/SiC Schottky Diode Gas Sensors For Hydrogen And Hydrocarbons Detection At High Temperatures,Miniaturized Metal (Metal Alloy)/PdOx/SiC Schottky Diode Gas Sensors For Hydrogen And Hydrocarbons Detection At High Temperatures,2026-01-01,2026
Tracking Of Cells With A Compact Microscope Imaging System Using Intelligent Controls,Tracking Of Cells With A Compact Microscope Imaging System Using Intelligent Controls,2026-01-01,2026
Iterative-Transform Phase-Retrieval Utilizing Adaptive Diversity,Iterative-Transform Phase-Retrieval Utilizing Adaptive Diversity,2026-01-01,2026
Slow light in chains of vertically coupled whispering gallery mode resonators,Slow light in chains of vertically coupled whispering gallery mode resonators,2026-01-01,2026
A Tracking Sunphotometer Without Moving Parts,A Tracking Sunphotometer Without Moving Parts,2026-01-01,2026
Reconfigurable Auditory-visual Display For Multi-channel Control Center And Rescue Communications,Reconfigurable Auditory-visual Display For Multi-channel Control Center And Rescue Communications,2026-01-01,2026
Stepping Flextures,Stepping Flextures,2026-01-01,2026
Finite-Difference Simulation And Visualization Of Elastodynamics In Time-Evolving Generalized Curvilinear Coordinates,Finite-Difference Simulation And Visualization Of Elastodynamics In Time-Evolving Generalized Curvilinear Coordinates,2026-01-01,2026
Context Based Configuration Management Concept,Context Based Configuration Management Concept,2026-01-01,2026
Applications Of Carbon Nanotube Hold-Off Voltages,Applications Of Carbon Nanotube Hold-Off Voltages,2026-01-01,2026
Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,2026-01-01,2026
Method for Real-Time Structure Shape Sensing,Method for Real-Time Structure Shape Sensing,2026-01-01,2026
Security Applications For Subvocal Speech,Security Applications For Subvocal Speech,2026-01-01,2026
Propulsion Controlled Aircraft Computer (PCAC),Propulsion Controlled Aircraft Computer (PCAC),2026-01-01,2026
Downlink Data Multiplexer,Downlink Data Multiplexer,2026-01-01,2026
Algorithms For Autonomous Soaring,Algorithms For Autonomous Soaring,2026-01-01,2026
MCC Voice Over Internet Protocol (VOIP),MCC Voice Over Internet Protocol (VOIP),2026-01-01,2026
Method for the Design and Analysis of the Primary Load Bearing Layer of an Inflatable Vessel,Method for the Design and Analysis of the Primary Load Bearing Layer of an Inflatable Vessel,2026-01-01,2026
"InvestigationOrganizer: Information Storage, Modeling And Visualization Support For Accident/Mishap Investigations (Part Of A Suite Of Software That Includes ARC-15069, ARC-15070 And ARC-15073)","InvestigationOrganizer: Information Storage, Modeling And Visualization Support For Accident/Mishap Investigations (Part Of A Suite Of Software That Includes ARC-15069, ARC-15070 And ARC-15073)",2026-01-01,2026
Enhanced Project Management Tool,Enhanced Project Management Tool,2026-01-01,2026
Energy-extraction-based active noise control system,Energy-extraction-based active noise control system,2026-01-01,2026
Wideband (31 To 36 GHz) 24-Way Radial Power Combiner/Divider Fed By A Marie Transducer,Wideband (31 To 36 GHz) 24-Way Radial Power Combiner/Divider Fed By A Marie Transducer,2026-01-01,2026
Template For Deposition Of Micron And Sub-micron Pointed Structures,Template For Deposition Of Micron And Sub-micron Pointed Structures,2026-01-01,2026
Temporal Laser Pulse Manipulation Using Multiple Optical Ring Cavities,Temporal Laser Pulse Manipulation Using Multiple Optical Ring Cavities,2026-01-01,2026
Absolute Limit Sensor (ALS),Absolute Limit Sensor (ALS),2026-01-01,2026
Magnetorestrictive Valves,Magnetorestrictive Valves,2026-01-01,2026
Multi-loop High Voltage Power Supply with Fast Rise/Fall Time,Multi-loop High Voltage Power Supply with Fast Rise/Fall Time,2026-01-01,2026
Autonomic Quiescence,Autonomic Quiescence,2026-01-01,2026
Hybrid Force/Stress Amplified Piezoelectric Energy Harvesting Transducer System,Hybrid Force/Stress Amplified Piezoelectric Energy Harvesting Transducer System,2026-01-01,2026
Submersible Vehicle Propulsion and Power Generation,Submersible Vehicle Propulsion and Power Generation,2026-01-01,2026
Use Of Carbon Nanotube Arrays For Display Purposes,Use Of Carbon Nanotube Arrays For Display Purposes,2026-01-01,2026
Wireless Fluid-Lead Measuring Dipstick Assembly (Broken Out Of LAR-16974-1),Wireless Fluid-Lead Measuring Dipstick Assembly (Broken Out Of LAR-16974-1),2026-01-01,2026
Miniaturized Radiation Spectrometer Development,Miniaturized Radiation Spectrometer Development,2026-01-01,2026
A Method Of Deriving Process Based Specifications From Scenarios Via Pattern Matching,A Method Of Deriving Process Based Specifications From Scenarios Via Pattern Matching,2026-01-01,2026
A Method For Producing Multifunctional Structural Thermally Stable Nanocomposites With Aligned Carbon Nanotubes,A Method For Producing Multifunctional Structural Thermally Stable Nanocomposites With Aligned Carbon Nanotubes,2026-01-01,2026
"Nonintrusive, Remote, Micron Accuracy, Laser Fresnel Ranging System","Nonintrusive, Remote, Micron Accuracy, Laser Fresnel Ranging System",2026-01-01,2026
A Method For Producing Stable Dispersions Of Single Walled Carbon Nanotubes In Polymer Matrices Using Noncovalent Interactions,A Method For Producing Stable Dispersions Of Single Walled Carbon Nanotubes In Polymer Matrices Using Noncovalent Interactions,2026-01-01,2026
Wireless Fuel Volume Measurement Techniques,Wireless Fuel Volume Measurement Techniques,2026-01-01,2026
Interdigitated Electrode Actuators For Straining Optical Fibers (IDEAS),Interdigitated Electrode Actuators For Straining Optical Fibers (IDEAS),2026-01-01,2026
Generation And Verification Of Policies For Autonomic Systems,Generation And Verification Of Policies For Autonomic Systems,2026-01-01,2026
A Method For Developing And Maintaining Evolving Systems With Software Product Lines,A Method For Developing And Maintaining Evolving Systems With Software Product Lines,2026-01-01,2026
A New Concept For Active Bistable Twisting Structures,A New Concept For Active Bistable Twisting Structures,2026-01-01,2026
Driven Ground,Driven Ground,2026-01-01,2026
SPAACE: Self Properties For An Autonomous & Autonomic Computing Environment,SPAACE: Self Properties For An Autonomous & Autonomic Computing Environment,2026-01-01,2026
Ferroelectric Light Control Device,Ferroelectric Light Control Device,2026-01-01,2026
"A Pulsed, 1 Micron, Single Frequency, Diode-Seeded Ytterbium-doped Fiber Amplifier With Variable Output Parameters, P","A Pulsed, 1 Micron, Single Frequency, Diode-Seeded Ytterbium-doped Fiber Amplifier With Variable Output Parameters, P",2026-01-01,2026
InterIssued Inventory Monitoring,InterIssued Inventory Monitoring,2026-01-01,2026
Millimeter Wave Polarization Transformer,Millimeter Wave Polarization Transformer,2026-01-01,2026
3D Laser Scanner,3D Laser Scanner,2026-01-01,2026
Dual Sensing Capable Germ Or Toxic Chemical (GTC) Sensor Using Quantum Aperture Array With Surface Plasmon Polariton (SPP),Dual Sensing Capable Germ Or Toxic Chemical (GTC) Sensor Using Quantum Aperture Array With Surface Plasmon Polariton (SPP),2026-01-01,2026
Modular Gear Bearing,Modular Gear Bearing,2026-01-01,2026
Electroactive polymer-carbon nanotube-ceramic nanocomposites,Electroactive polymer-carbon nanotube-ceramic nanocomposites,2026-01-01,2026
"Thin, High-Contrast Targets for Ultralightweight Structures","Thin, High-Contrast Targets for Ultralightweight Structures",2026-01-01,2026
Hardware And Technique For Dead End Welding Of All Types Of Tubing,Hardware And Technique For Dead End Welding Of All Types Of Tubing,2026-01-01,2026
Aero Assist Capsule Vehicle Geometry For Atmospheric Entry,Aero Assist Capsule Vehicle Geometry For Atmospheric Entry,2026-01-01,2026
Thermally Driven Miniature Piston Actuator,Thermally Driven Miniature Piston Actuator,2026-01-01,2026
"Modeling, Specifying And Deploying Policies In Autonomous And Autonomic Systems Using An AOSE Methodology","Modeling, Specifying And Deploying Policies In Autonomous And Autonomic Systems Using An AOSE Methodology",2026-01-01,2026
Enhancing R2D2C Requirements Based Programming With Automata Learning,Enhancing R2D2C Requirements Based Programming With Automata Learning,2026-01-01,2026
Integrated mitigation for single event upset (SEU) of reprogrammable field programmable gate arrays (FPGA) operating in radiation environments,Integrated mitigation for single event upset (SEU) of reprogrammable field programmable gate arrays (FPGA) operating in radiation environments,2026-01-01,2026
Distributed Solid State Programmable Thermostat / Power Controller,Distributed Solid State Programmable Thermostat / Power Controller,2026-01-01,2026
"Multi-Point, Multi-Component Interferometric Rayleigh/Mie Doppler Velocimeter","Multi-Point, Multi-Component Interferometric Rayleigh/Mie Doppler Velocimeter",2026-01-01,2026
Process and Apparatus for Hydrogen and Carbon Production via Carbon Aerosol-Catalyzed Dissociation of Hydrocarbons,Process and Apparatus for Hydrogen and Carbon Production via Carbon Aerosol-Catalyzed Dissociation of Hydrocarbons,2026-01-01,2026
Fiber Optic Liquid Mass Flow Sensor - Improved Prototype Design,Fiber Optic Liquid Mass Flow Sensor - Improved Prototype Design,2026-01-01,2026
An Autonomic Smoke Detector,An Autonomic Smoke Detector,2026-01-01,2026
Heated Pressure Balls Monopropellant Thermal Rocket Engine Cycle,Heated Pressure Balls Monopropellant Thermal Rocket Engine Cycle,2026-01-01,2026
Self-Advancing Step-Tap Drill,Self-Advancing Step-Tap Drill,2026-01-01,2026
Low Conductance Silicon Micro-leak for Mass Spectrometer Inlet,Low Conductance Silicon Micro-leak for Mass Spectrometer Inlet,2027-01-01,2027
Miniaturized Double Latching Solenoid Valve,Miniaturized Double Latching Solenoid Valve,2027-01-01,2027
Compact Low-loss Planar Magic-T With Broadband Phase And Amplitude Responses,Compact Low-loss Planar Magic-T With Broadband Phase And Amplitude Responses,2027-01-01,2027
Dust removal from solar cells,Dust removal from solar cells,2027-01-01,2027
Specular Coatings For Composite Structures,Specular Coatings For Composite Structures,2027-01-01,2027
Method For Ultraminiature Fiber Light Source,Method For Ultraminiature Fiber Light Source,2027-01-01,2027
Broadband High Spurious-suppression Microwave Waveguide Filter For Polarization-preserving And Transformer,Broadband High Spurious-suppression Microwave Waveguide Filter For Polarization-preserving And Transformer,2027-01-01,2027
A Method For Thermal Spraying Of Coatings Using Resonant Pulsed Combustion,A Method For Thermal Spraying Of Coatings Using Resonant Pulsed Combustion,2027-01-01,2027
Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom,Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom,2027-01-01,2027
Cellular Reflectarray Antenna,Cellular Reflectarray Antenna,2027-01-01,2027
Provision Of Carbon Nanotube Arrays Of Variable Density For IC Hot Spot Control,Provision Of Carbon Nanotube Arrays Of Variable Density For IC Hot Spot Control,2027-01-01,2027
Ultrasonic Stir Welding Process And Apparatus,Ultrasonic Stir Welding Process And Apparatus,2027-01-01,2027
Gimbling Shoulder For Friction Stir Welding,Gimbling Shoulder For Friction Stir Welding,2027-01-01,2027
Conformal Gripper,Conformal Gripper,2027-01-01,2027
Video Image Stabilization And Registration - Plus (VISAR+),Video Image Stabilization And Registration - Plus (VISAR+),2027-01-01,2027
Cup Cylindrical Waveguide Antenna,Cup Cylindrical Waveguide Antenna,2027-01-01,2027
In-Flight Fault Accommodation Through Automated Control Parameter Changes,In-Flight Fault Accommodation Through Automated Control Parameter Changes,2027-01-01,2027
RF MEMS Switches Utilizing Non-Metallic Thin Film Cantilevers/Bridges With Controlled Stress And Conductivity,RF MEMS Switches Utilizing Non-Metallic Thin Film Cantilevers/Bridges With Controlled Stress And Conductivity,2027-01-01,2027
Stability Algorithm For Neural Entities (SANE),Stability Algorithm For Neural Entities (SANE),2027-01-01,2027
Short-Range / Long-Range Integrated Target (SLIT) For Video Guidance Sensor Rendezvous And Docking,Short-Range / Long-Range Integrated Target (SLIT) For Video Guidance Sensor Rendezvous And Docking,2027-01-01,2027
Swept frequency laser metrology system,Swept frequency laser metrology system,2027-01-01,2027
Foam-Rigidized Inflatable Tubular Space Booms,Foam-Rigidized Inflatable Tubular Space Booms,2027-01-01,2027
"Instrument And Method For X-Ray Diffraction, Fluorescence, And Crystal Texture Analysis Without Sample Preparation","Instrument And Method For X-Ray Diffraction, Fluorescence, And Crystal Texture Analysis Without Sample Preparation",2027-01-01,2027
PORTABLE RAPID AND QUIET DRILL (PRAQD),PORTABLE RAPID AND QUIET DRILL (PRAQD),2027-01-01,2027
"An Active, Solid-state, 3-Dimensional Range Imaging System","An Active, Solid-state, 3-Dimensional Range Imaging System",2027-01-01,2027
Reverse-Bias Protected Solar Array With Integrated ByPass Battery,Reverse-Bias Protected Solar Array With Integrated ByPass Battery,2027-01-01,2027
Otoacoustic Protection In Biologically-Inspired Systems,Otoacoustic Protection In Biologically-Inspired Systems,2027-01-01,2027
An Extendibe USB Drive That Accepts External Media,An Extendibe USB Drive That Accepts External Media,2027-01-01,2027
Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom (ALSO See LEW 18236-1),Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom (ALSO See LEW 18236-1),2027-01-01,2027
Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,2027-01-01,2027
Optical Hotspot Conductive Fluid Flow Sensor,Optical Hotspot Conductive Fluid Flow Sensor,2027-01-01,2027
An Double-Headed USB Drive,An Double-Headed USB Drive,2027-01-01,2027
Program Management Tool (PMT) Also Known As Business Intelligence (BI),Program Management Tool (PMT) Also Known As Business Intelligence (BI),2027-01-01,2027
Composite Case Armor,Composite Case Armor,2027-01-01,2027
New Architecture For Space Radiation Detection,New Architecture For Space Radiation Detection,2027-01-01,2027
Trajectory Specification For High-Capacity Air Traffic Control,Trajectory Specification For High-Capacity Air Traffic Control,2027-01-01,2027
A Description Of An Improved Method For Attaching An Inflatable Shell To A Rigid Interface,A Description Of An Improved Method For Attaching An Inflatable Shell To A Rigid Interface,2027-01-01,2027
Selective Access And Editing In A Database (Part of NTTS Suite),Selective Access And Editing In A Database (Part of NTTS Suite),2027-01-01,2027
"Method of Manufacturing Light Emmitting, Photovoltaic or other Electronic Apparatus","Method of Manufacturing Light Emmitting, Photovoltaic or other Electronic Apparatus",2027-01-01,2027
Detecting the loss of configuration access of reprogrammable Field Programmable Gate Array (FPGA) without external circuitry,Detecting the loss of configuration access of reprogrammable Field Programmable Gate Array (FPGA) without external circuitry,2027-01-01,2027
Nanotechnology Sensor Of Presence And Concentration Of A Target Molecule,Nanotechnology Sensor Of Presence And Concentration Of A Target Molecule,2027-01-01,2027
Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,2027-01-01,2027
Jet Engine Exhaust Nozzle Flow Effector,Jet Engine Exhaust Nozzle Flow Effector,2027-01-01,2027
Sprayable Low Temperature Oxidation Catalyst Coating Based on Sol-Gel Technology,Sprayable Low Temperature Oxidation Catalyst Coating Based on Sol-Gel Technology,2027-01-01,2027
Multi-axis Accelerometer Calibration System Using a Cuboidal Attitude Positioning Device,Multi-axis Accelerometer Calibration System Using a Cuboidal Attitude Positioning Device,2027-01-01,2027
Cylindrical Shaped Micro Fiber Composite (CMFC) Actuators,Cylindrical Shaped Micro Fiber Composite (CMFC) Actuators,2027-01-01,2027
Thin-film evaporative cooling concept for a solid-state laser diode crystal,Thin-film evaporative cooling concept for a solid-state laser diode crystal,2027-01-01,2027
Chaperonin-based Templates for Pseudo-cellulosomes with Multiple Enzymes Present,Chaperonin-based Templates for Pseudo-cellulosomes with Multiple Enzymes Present,2027-01-01,2027
Advanced Resistive Exercise Device (ARED),Advanced Resistive Exercise Device (ARED),2027-01-01,2027
"Low Friction, Low Profile, High Moment Two-Axis Joint","Low Friction, Low Profile, High Moment Two-Axis Joint",2027-01-01,2027
New Architecture for Space Radiation Detection,New Architecture for Space Radiation Detection,2027-01-01,2027
Preparation of Metal Nanowire Decorated Carbon Allotropes,Preparation of Metal Nanowire Decorated Carbon Allotropes,2027-01-01,2027
Extreme Low Frequency Acoustic Measurement System,Extreme Low Frequency Acoustic Measurement System,2027-01-01,2027
Flame Holder System,Flame Holder System,2027-01-01,2027
A Method and Apparatus for Determination of the Reflection Wavelength of Multiple Low-Reflectivity Bragg Gratings in a Single Fiber,A Method and Apparatus for Determination of the Reflection Wavelength of Multiple Low-Reflectivity Bragg Gratings in a Single Fiber,2027-01-01,2027
Water Treatment Systems For Long Space Flight Use,Water Treatment Systems For Long Space Flight Use,2027-01-01,2027
Growth Method For Phase Change Nanostructures,Growth Method For Phase Change Nanostructures,2027-01-01,2027
Fabrication of Multilayer Ferritin Array for Bionanobattery,Fabrication of Multilayer Ferritin Array for Bionanobattery,2027-01-01,2027
In-situ Formation Of Reinforcement Phases In Ceramic Composites And Ultra High Temperature Ceramic Composites For Advanced TPS Applications,In-situ Formation Of Reinforcement Phases In Ceramic Composites And Ultra High Temperature Ceramic Composites For Advanced TPS Applications,2027-01-01,2027
Enhanced Separation Control Via Simultaneous Multiple-Location Forcing,Enhanced Separation Control Via Simultaneous Multiple-Location Forcing,2027-01-01,2027
Novel Aromatic/Aliphatic Diamine Derivatives For Advanced Compositions And Polymers,Novel Aromatic/Aliphatic Diamine Derivatives For Advanced Compositions And Polymers,2027-01-01,2027
"A Real-Time, High Frequency QRS Electrocardiograph","A Real-Time, High Frequency QRS Electrocardiograph",2027-01-01,2027
"Semi Autonomous Flight System With Avionics Sensor Board, Processing Board, And Flight Control Board","Semi Autonomous Flight System With Avionics Sensor Board, Processing Board, And Flight Control Board",2027-01-01,2027
Graded Indexed SiGe Layers on Lattice Matched SiGe Layers on Sapphire,Graded Indexed SiGe Layers on Lattice Matched SiGe Layers on Sapphire,2027-01-01,2027
Low Cost Portable Planetarium Imaging System,Low Cost Portable Planetarium Imaging System,2027-01-01,2027
Microencapsulation System And Method,Microencapsulation System And Method,2027-01-01,2027
Thermoelectric Devices From Thin Metal System To Include Flexible Substrate And Method Of Making Same,Thermoelectric Devices From Thin Metal System To Include Flexible Substrate And Method Of Making Same,2027-01-01,2027
Low Profile Sensors Using Self-Resonating Inductors,Low Profile Sensors Using Self-Resonating Inductors,2028-01-01,2028
Atmospheric Entry Heat Shield Employing Cured Thermal Protection Material Blocks Bonded In A Large-Cell Honeycomb Matrix,Atmospheric Entry Heat Shield Employing Cured Thermal Protection Material Blocks Bonded In A Large-Cell Honeycomb Matrix,2028-01-01,2028
Direct Fuel Impingement Planar-Array-Microreactor,Direct Fuel Impingement Planar-Array-Microreactor,2028-01-01,2028
Apparatus For Free Electron Laser Ablative Synthesis Of Carbon Nanotubes,Apparatus For Free Electron Laser Ablative Synthesis Of Carbon Nanotubes,2028-01-01,2028
Shape Memory Based Actuators and Release Mechanisms,Shape Memory Based Actuators and Release Mechanisms,2028-01-01,2028
An N Channel JFET Based Digital Logic Gate Structure Using Resistive Level Shifters And Having Direct Application To High Temperature Silicon Carbide Electronics,An N Channel JFET Based Digital Logic Gate Structure Using Resistive Level Shifters And Having Direct Application To High Temperature Silicon Carbide Electronics,2028-01-01,2028
Method And Apparatus For Second Harmonic Generation And Other Frequency Convertion With Multiple Frequency Channels,Method And Apparatus For Second Harmonic Generation And Other Frequency Convertion With Multiple Frequency Channels,2028-01-01,2028
Autonomous Wireless Sensor Transceiver,Autonomous Wireless Sensor Transceiver,2028-01-01,2028
Simultaneous Non-Contact Precision Measurement Of Microstructual And Thickness Variation In Dielectric Materials Using Terahertz Energy,Simultaneous Non-Contact Precision Measurement Of Microstructual And Thickness Variation In Dielectric Materials Using Terahertz Energy,2028-01-01,2028
Identification And Authentication System Using Integrated Optical And X-ray Fluorescene Spectral Methods,Identification And Authentication System Using Integrated Optical And X-ray Fluorescene Spectral Methods,2028-01-01,2028
"Low Impact Docking System (LIDS) A.k.a, International Berthing Docking Mechanism (IBDM)","Low Impact Docking System (LIDS) A.k.a, International Berthing Docking Mechanism (IBDM)",2028-01-01,2028
Lightweight Lunar Surface Remote Manipulator System (LSRMS),Lightweight Lunar Surface Remote Manipulator System (LSRMS),2028-01-01,2028
Low TCR Nanocomposite Strain Gages,Low TCR Nanocomposite Strain Gages,2028-01-01,2028
System For Providing Damage Detection And Thermal Protection,System For Providing Damage Detection And Thermal Protection,2028-01-01,2028
Advance Display Media for Improved Airport Surface Operations,Advance Display Media for Improved Airport Surface Operations,2028-01-01,2028
Process For Optimizing The Yield And Production Rate Of Single-Walled Carbon Nanotubes Using Free Electron Laser Synthesis,Process For Optimizing The Yield And Production Rate Of Single-Walled Carbon Nanotubes Using Free Electron Laser Synthesis,2028-01-01,2028
Dielectrophoresis-Based Particle Sensor Using Nanoelectrode Arrays,Dielectrophoresis-Based Particle Sensor Using Nanoelectrode Arrays,2028-01-01,2028
Miniaturized Metal (Metal Alloy) PdOx/Sic Hydrogen And Hydrocarbon Gas Sensors,Miniaturized Metal (Metal Alloy) PdOx/Sic Hydrogen And Hydrocarbon Gas Sensors,2028-01-01,2028
16-Kilowatt (KW) 2-30MHz Solid State Power Amplifier using innovative combining methods,16-Kilowatt (KW) 2-30MHz Solid State Power Amplifier using innovative combining methods,2028-01-01,2028
A Method To Calibrate Magnetic Response Fluid-Level Sensors Using Complete Sensor Immersion In Fluid,A Method To Calibrate Magnetic Response Fluid-Level Sensors Using Complete Sensor Immersion In Fluid,2028-01-01,2028
Composition of and Method to Prepare Hybrid Laminates from Metal Plasma Coated Fibers and Polymer Matrix Resins,Composition of and Method to Prepare Hybrid Laminates from Metal Plasma Coated Fibers and Polymer Matrix Resins,2028-01-01,2028
Metal/Fiber Laminate and Fabrication Using A Porous Metal/Fiber Preform,Metal/Fiber Laminate and Fabrication Using A Porous Metal/Fiber Preform,2028-01-01,2028
Advanced Adhesive Bond Shape Tailoring for Large Composite Primary Structures Subjected to Cryogenic and Ambient Loading Environments,Advanced Adhesive Bond Shape Tailoring for Large Composite Primary Structures Subjected to Cryogenic and Ambient Loading Environments,2028-01-01,2028
Directed Flux Motor Utilizing Concentric Magnets and Interwoven Flux Channels,Directed Flux Motor Utilizing Concentric Magnets and Interwoven Flux Channels,2028-01-01,2028
Actuated Ball and Socket Joint,Actuated Ball and Socket Joint,2028-01-01,2028
Hughes Particle â€“ Surface Interaction Model,Hughes Particle â€“ Surface Interaction Model,2028-01-01,2028
Ultrasonic/Sonic Rotary-Hammer Drill (USRoHD),Ultrasonic/Sonic Rotary-Hammer Drill (USRoHD),2028-01-01,2028
A Novel Nanoionics-based Switch For Radiofrequency (RF) Applications,A Novel Nanoionics-based Switch For Radiofrequency (RF) Applications,2028-01-01,2028
A two-axis direct fluid shear stress sensor suited for aerodynamic applications,A two-axis direct fluid shear stress sensor suited for aerodynamic applications,2028-01-01,2028
